id,plot,block,trt,manure,biomass_g,stage,blue,green,red,rededge,nir,yield_kgha,biomass_kgha
101-AG23-N1,101,1,0,N,50.05,V6,0.039523715,0.076903188,0.073932625,0.145192021,0.218082693,3079.246016,325
102-AG23-N5,102,1,224,N,64.71,V6,0.031828711,0.062840658,0.054307713,0.125989566,0.240446778,13023.80076,420.1948052
103-AG23-N4,103,1,168,N,66.5,V6,0.031307568,0.061808484,0.052191329,0.124172599,0.236248336,8759.246699,431.8181818
104-AG23-N3,104,1,112,N,58.13,V6,0.031488971,0.061838188,0.052254397,0.123820592,0.229060987,8064.239654,377.4675325
105-AG23-N2,105,1,56,N,87.06,V6,0.029131202,0.059567758,0.046582191,0.123208894,0.24688363,7198.434005,565.3246753
106-AG23-N6,106,1,280,N,85.54,V6,0.026632092,0.053400557,0.03913407,0.113510741,0.265131184,11328.55282,555.4545455
107-AG23-M3,107,1,112,M,101.42,V6,0.026244068,0.054388448,0.041008567,0.116340066,0.249909877,12646.2662,658.5714286
108-AG23-M1,108,1,0,M,61.95,V6,0.030638486,0.061683888,0.051295903,0.126947296,0.239143123,7653.994325,402.2727273
109-AG23-M2,109,1,56,M,69.62,V6,0.029533664,0.059035628,0.04746557,0.121463832,0.247063162,9719.730573,452.0779221
110-AG23-M4,110,1,168,M,95.16,V6,0.027485121,0.05563001,0.041797428,0.116105906,0.261105815,13180.94683,617.9220779
111-AG23-M5,111,1,224,M,95.18,V6,0.025844871,0.053600636,0.037849629,0.115021608,0.271709229,13318.24293,618.0519481
112-AG23-M6,112,1,280,M,112.98,V6,0.024015375,0.05180053,0.033285154,0.113678877,0.282027856,12832.61216,733.6363636
201-AG23-N4,201,2,168,N,58.79,V6,0.036467825,0.070820737,0.065377207,0.134938491,0.23441377,12014.32408,381.7532468
202-AG23-N6,202,2,280,N,61.78,V6,0.042972375,0.079752028,0.080373833,0.146785406,0.228146143,11432.29722,401.1688312
203-AG23-N5,203,2,224,N,68.5,V6,0.037728083,0.072793898,0.066603074,0.140354968,0.235135934,11568.79869,444.8051948
204-AG23-N3,204,2,112,N,55.54,V6,0.036174318,0.070615783,0.061743635,0.137710252,0.241141213,8543.044387,360.6493506
205-AG23-N2,205,2,56,N,75.16,V6,0.03944467,0.075485334,0.072060677,0.143507976,0.239871792,8792.482705,488.0519481
206-AG23-N1,206,2,0,N,36.62,V6,0.047000124,0.089020688,0.094439287,0.161049527,0.229449968,3650.667595,237.7922078
207-AG23-M6,207,2,280,M,76.1,V6,0.036620464,0.070585073,0.066035771,0.136758606,0.247625248,13665.42634,494.1558442
208-AG23-M3,208,2,112,M,89.85,V6,0.032696348,0.063697991,0.054494523,0.127967216,0.257388388,13161.52247,583.4415584
209-AG23-M1,209,2,0,M,52.43,V6,0.037238057,0.069881173,0.062723445,0.136606809,0.24650576,8356.791956,340.4545455
210-AG23-M4,210,2,168,M,34.3,V6,0.039976871,0.07344026,0.070324727,0.140210921,0.239816782,12755.1068,222.7272727
211-AG23-M2,211,2,56,M,64.14,V6,0.041942455,0.077879735,0.075627495,0.149228843,0.238956001,7596.323093,416.4935065
212-AG23-M5,212,2,224,M,51.47,V6,0.03910527,0.073501093,0.070823442,0.141854372,0.241225721,12374.8227,334.2207792
301-AG23-M4,301,3,168,M,68.12,V6,0.027895655,0.056258069,0.045107572,0.115871375,0.254988384,13053.89062,442.3376623
302-AG23-M3,302,3,112,M,99,V6,0.025065144,0.051685035,0.034822637,0.110613459,0.279819784,12838.00578,642.8571429
303-AG23-M5,303,3,224,M,96.26,V6,0.023853466,0.04860418,0.030911803,0.105205526,0.282504276,13824.72906,625.0649351
304-AG23-M6,304,3,280,M,116.96,V6,0.025236353,0.049405856,0.033873464,0.10623188,0.276024814,12952.14469,759.4805195
305-AG23-M2,305,3,56,M,91.76,V6,0.026454741,0.051433456,0.035859791,0.108812801,0.271647761,11992.04464,595.8441558
306-AG23-M1,306,3,0,M,89.71,V6,0.028153874,0.053876213,0.04018293,0.111840206,0.262469369,9494.285572,582.5324675
307-AG23-N6,307,3,280,N,87.56,V6,0.029359351,0.057522373,0.04478258,0.117658277,0.260413716,12928.24975,568.5714286
308-AG23-N2,308,3,56,N,82.98,V6,0.030548766,0.060213797,0.046460215,0.121772374,0.251258601,7645.914227,538.8311688
309-AG23-N4,309,3,168,N,88.4,V6,0.032131387,0.06134033,0.05001889,0.123490076,0.251420393,12078.25959,574.025974
310-AG23-N1,310,3,0,N,57.22,V6,0.035301965,0.067815759,0.06131691,0.130790976,0.222912771,5102.084732,371.5584416
311-AG23-N5,311,3,224,N,76.78,V6,0.035635883,0.067966406,0.062936631,0.131513725,0.245116487,12191.74255,498.5714286
312-AG23-N3,312,3,112,N,74.25,V6,0.045718171,0.083414349,0.091356788,0.152356415,0.236480186,7892.619278,482.1428571
401-AG23-M1,401,4,0,M,95.08,V6,0.027148701,0.054732679,0.043018627,0.114740657,0.235390351,9654.333126,617.4025974
402-AG23-M3,402,4,112,M,80.94,V6,0.024703678,0.050214343,0.037299818,0.110809175,0.252227477,10718.99735,525.5844156
403-AG23-M2,403,4,56,M,84.82,V6,0.025286161,0.050058164,0.037601062,0.107577707,0.244413379,13445.47233,550.7792208
404-AG23-M5,404,4,224,M,68.72,V6,0.024761495,0.047970251,0.034694124,0.103391789,0.247270141,12795.82454,446.2337662
405-AG23-M4,405,4,168,M,108.53,V6,0.026061355,0.049728606,0.037856234,0.105604581,0.23890417,12520.44868,704.7402597
406-AG23-M6,406,4,280,M,99.46,V6,0.026595558,0.050987969,0.038053181,0.106573739,0.252074994,14245.57703,645.8441558
407-AG23-N1,407,4,0,N,72.65,V6,0.032573358,0.061961775,0.051549177,0.122895075,0.226403556,5697.315013,471.7532468
408-AG23-N6,408,4,280,N,82.85,V6,0.030212149,0.057130185,0.046108127,0.116660715,0.237209299,11201.0146,537.987013
409-AG23-N5,409,4,224,N,105.81,V6,0.027811945,0.054060516,0.041223659,0.113081585,0.242467597,12105.88314,687.0779221
410-AG23-N3,410,4,112,N,86.13,V6,0.029081524,0.055758591,0.045012319,0.113879842,0.235620991,11672.74029,559.2857143
411-AG23-N4,411,4,168,N,110.34,V6,0.027980149,0.054947763,0.041969401,0.114937053,0.252710242,11751.72196,716.4935065
412-AG23-N2,412,4,56,N,73.21,V6,0.028078549,0.058720122,0.044828249,0.123372105,0.246493071,7827.123295,475.3896104
